Link,Huurprijs,Locatie,m2,Kamers,Interieur,Huurovereenkomst,Type woning,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Omschrijving tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving
https://www.pararius.com/apartment-for-rent/rotterdam/89dcf33a/zweedsestraat,"€2,500 per month",3028 TR (Oud Mathenesse),77 m²,4 rooms,Furnished,Temporary rental,,1937,1,Shower,Present,Not present,,B,Not present,No,,No,"Description
For Rent: Fully renovated and newly furnished 4-room apartment with balcony in Rotterdam. Energy label A+*.
The apartment is situated on the 2nd and 3rd floors. The first living level features a cozy living room with an open kitchen, decorated in a relaxing style according to the latest trends. Adjacent, is the first bedroom with a large double bed, a small office (which can also be used as a second children's bedroom) with a balcony, and a toilet. On the upper living level, there is the bathroom and the second bedroom, which includes a small desk area. The bed in this bedroom can be used as either one double bed or two single beds. Walkthrough video: https://youtu.be/xCBTDtNMuZw
The apartment is fully equipped: you can move in right away without missing anything. Amenities include: washing machine, dryer, television (a Samsung The Frame, which can also be used as artwork), oven, refrigerator, separate freezer, induction cooktop, dishwasher, complete kitchenware (including baking tins and a stone grill!), a barbecue, 3 duvets, sets of bedding for both bedrooms (2 sets each), 2 full sets of towels, iron and ironing board, bistro set on the balcony, storage space, and vacuum cleaner.
The apartment is located in the Oud-Mathenesse neighborhood in Rotterdam. This is a quiet, green, multicultural residential area with a nice mix of families, seniors, and single person households. Diagonally across the street is a small park with a playground. A small supermarket is a 3-minute walk away, and two large supermarkets (Dirk van de Broek and Lidl) are a 5-minute walk away. Additionally, within a 5-minute radius, there are restaurants, cafés, a brewery, and even a floating farm where you can buy fresh cheese.
The apartment is in a very accessible location:
- Rotterdam Center: 14 minutes by bike or 17 minutes by public transport.
- Highway: 4 minutes by car.
- Schiedam station: 5 minutes by bike or 7 minutes by public transport.
- Rotterdam Central station: 15 minutes by public transport, 11 minutes by car, or 18 minutes by bike.
- 2 Universities: 19 minutes by bike, 14 minutes by car, or 22 minutes by public transport.
- Zoo: 11 minutes by bike, 8 minutes by car.
The rent is EUR 2500 per month, including furniture rental, excluding gas/water/electricity (130,- EUR advance).
- Available for 1 or 2 years.
- Deposit is 2 months' rent.
- Up to 2 adults can register max (plus any children).
- Students will have priority.
- Suitable for a family but also available for home sharers. PLEASE NOTE: Not available for 3 adults.
* = the energy label has just been upgraded, and therefore the new label is not visible yet online. However, we will provide the new label within 6 weeks.
---------------------
After an invitation for a viewing, contact is made directly via the home owner/manager. Any agreements made are between prospective tenant and homeowner."
https://www.pararius.com/apartment-for-rent/geldrop/e8d71b7a/bogardeind,€976 per month,5664 EB (Centrum),45 m²,2 rooms,Furnished,Unlimited period,,1967,1,"Shower
Toilet",Not present,Not present,,B,Not present,Yes,Public,No,"Description
A special apartment at the Bogardeind. The apartment has a living area of 45 m2 and was built in 1967.
The street Bogardeind is located in the center of Geldrop, opposite the hospital.
The apartment is easily accessible with all imaginable amenities nearby. In addition, the nearest highway is only a 2 minutes drive away.
Entrance at the rear of the Bogardeind, staircase to a shared roof terrace with front doors of both apartments.
The apartment is completely renovated and equipped with a neat laminate floor, new kitchen with all appliances, bathroom with walk in shower, toilet and sink.
The bedroom has a king-size bed and a space built in closet.
CONDITIONS
Please note: we are not able to schedule a viewing via the phone, if you would like to attend a viewing, please fill-out the form on the webpage.
Rental price is excluding gas/water/electricity & internet/tv of €144,-
Rental price is excluded monthly service cost of €75,-
Deposit 1 month rent.
Income requires 3 month’s rent
Rental period minimal 12 months
Furnished
No pets allowed
No smoking allowed
We don't charge any kind of costs to the tenant for the rental mediation and the conclusion of a rental agreement."
https://www.pararius.com/room-for-rent/enschede/efbf7c33/hoogstraat,,,50 m²,2 rooms,Upholstered,,,,,,,,,,,,,,
https://www.pararius.com/apartment-for-rent/leiden/068305dd/garenmarkt,"€1,800 per month",2311 PG (Levendaal-West),62 m²,2 rooms,Upholstered,Temporary rental,,2022,,"Intercom
Internet connection",Not present,Not present,,,Not present,Yes,,No,"Description
Stylishly designed apartments providing accommodation for students
Smart, connected and stylishly conceived, every space has been created to work as hard as its residents. Our living spaces are beautifully designed and appeal to those who enjoy clean, modern, and creative spaces.
In this 1 bedroom unit, we offer an all-inclusive package, which will help you, kick off your stay in Pilgris' House City Living - more information will be provided on this.
Contracts are only valid for one year.
We can only accommodate students and working students in our building.
The contract start date is 1ct of November 2024.
If you are interested, and serious about coming to live in our apartment, please get in touch.
Kind Regards,
Pilgrims' House Management"
https://www.pararius.com/house-for-rent/maastricht/d09492e1/baron-van-hoevellstraat,"€1,375 per month",6221 VE (Heugemerveld),91 m²,3 rooms,Upholstered,Unlimited period,,1949,2,"Bath
Shower
Sliding doors
Toilet",Not present,Present (located on the west),,C,Not present,Yes,Permit,No,"Description
Only for couples, expats or families. Not for students or home sharers!
Spacious family home for rent from December 01, 2024! Spacious house with open kitchen, sliding doors to the garden and two bedrooms. Located within walking distance of the central station and 2 minutes from the highway (A2).
Layout:
Ground floor:
Entrance with the meter cupboard, separate toilet, stairs to the 1st floor and access to the living room. The toilet is equipped with a floating toilet and sink. Spacious living room with open kitchen. The total area is approximately 35 m². The sliding doors and windows allow a lot of light to enter. The open kitchen is equipped with a microwave, oven, refrigerator, sink, four-burner gas stove and a work island.
1st floor:
Landing with access to the 2 spacious bedrooms. Modern bathroom with bath, toilet and sink with furniture.
Garden:
From the living room with open kitchen sliding doors to the garden. The west-facing backyard of approximately 60 m² is also accessible from the back.
Location:
The house is very centrally located near the Wyck and Céramique districts on the one hand and the new park and the Groene Loper district on the other. The connections to the roads to the A2 and A79 are easily accessible. The train station and an extensive range of shops and (international) schools are close by.
Particularities:
The rental price of the house is €1375,- excluding gas, water and electricity. The deposit is equal to one month's rent. The minimum rental period is 12 months.
Extra information:
Max 2 persons
No students
No pets
Energy label C"
https://www.pararius.com/apartment-for-rent/zandvoort/5113954b/de-wittstraat,,,70 m²,3 rooms,Upholstered or furnished,,,,,,,,,,,,,,
https://www.pararius.com/apartment-for-rent/oudenbosch/2520be27/luit-looymanshof,€730 per month,4731 GW (Velletri),58 m²,3 rooms,,,,1985,1,,,,,C,,,,,"Description
Nice apartment for rent in Oudenbosch in the Velletri district."
https://www.pararius.com/house-for-rent/tilburg/717e72e2/oldenzaalsingel,"€2,295 per month",5045 TR (Dongewijk Noord),126 m²,3 rooms,Upholstered,Temporary rental,,1995,,"Blinds
Sliding doors",Not present,"Present (150 m², located on the south-west)",,A,Present,Yes,On private land,No,"Description
As of January 1, 2025, we are renting out this beautiful luxury corner house, fully modernized and with an unobstructed view. The spacious kitchen and the spacious living room with a view of the beautiful garden, give a very spacious feeling.
The location of the house is favorable in relation to the main roads in the Reeshof, the NS station and Heyhoef shopping center are within walking distance. There are several primary schools and a secondary school within walking distance. There is parking for 1 car in the driveway and there is ample parking at the front and side of the house. There is also a charging station for electric cars right next to the house, how convenient is that!
When you enter you immediately feel the space and you enter the spacious kitchen with lots of storage space, large refrigerator, combi oven, dishwasher, induction hob with integrated extractor. Through the kitchen you have access to the storage room with washer / dryer connection and fixed cupboards with lots of storage space. Through the kitchen access to the spacious living room of 40m2 with sliding doors with access to the garden and an open staircase to the 1st floor. The entire ground floor has stucco walls and ceilings, PVC floors and underfloor heating.
On the first floor there are two full bedrooms, a bathroom and a closet room. This former third bedroom has been converted into a walk-in closet. In consultation we could make this a third bedroom again. The attic can be reached via a fixed staircase in one of the bedrooms. The entire first floor has stucco and laminate flooring. The bathroom has a bath, walk-in shower, toilet and bathroom furniture with sink.
GARDEN
The front and back gardens are low-maintenance. The back garden is approximately 15 meters deep and 10 meters wide and has its own back entrance and a detached wooden shed with electricity. There is a large canopy at the house. The house has a spacious front garden at the front, so the sidewalk is some distance away. The front garden has space for 1 car, a trampoline and a monkey bar."
https://www.pararius.com/apartment-for-rent/nijmegen/2530a2a8/priemstraat,,,140 m²,2 rooms,Furnished,,,,,,,,,,,,,,
https://www.pararius.com/apartment-for-rent/den-haag/c0d77697/vondelstraat,"€1,950 per month",2513 EP (Zeeheldenkwartier),93 m²,3 rooms,Furnished,,,1930,1,Toilet,Present,,,B,,,,,"Description
Lovely fully furnished apartment situated in the popular ‘Zeeheldenkwartier’ area, within walking distance of the lively city center of The Hague. This high-quality renovated apartment from 1930 comes fully furnished and has two bedrooms and a nice balcony. The building's architecture is in the style of the ‘Haagse School’ featuring stained glass accents throughout the apartment. Due to the high ceilings, the property feels extra spacious, this apartment is a beautiful place to live!
Layout:
General entrance with intercom and mailboxes on the ground floor. Stairs to the second floor to reach the apartment’s entrance. Very spacious hallway that gives access to all rooms in the apartment. The living and dining area can be separated with sliding doors and have lots of cabinet space. In both the living and dining areas you can still find the remains of what used to be a fireplace which gives both areas something extra.
The kitchen is fully equipped with all necessary equipment such as a dishwasher, fridge, freeze, oven/microwave combination, gas cooking hobs, extractor hood, coffee machine, lots of cabinet space, and a beautiful water tap.
The master bedroom is pretty spacious and situated at the back of the property and has an en-suite bathroom with a shower and washbasin. The second bedroom has a sleeping couch, a big wardrobe, and enough space to fit a home office for example.
There is an extra cupboard with a washing machine and a dryer present in the apartment. The balcony can be reached through the dining area and the kitchen.
Extra remarks:
Directly available
Minimum rental period of 12 months
Fully furnished
Energy label B
Rental price excludes utilities, TV and internet
Close to the city center
Not available for students or sharers
Perfectly suitable for a single expat or a couple"
https://www.pararius.com/apartment-for-rent/amsterdam/a4517b82/amstelveenseweg,"€2,250 per month",1075 XS (Schinkelbuurt),55 m²,3 rooms,Upholstered,,,1911,1,"Bath
Roof terrace
Shower
Skylight
Storage space
Toilet
Laundry room",Not present,Not present,,A,,Yes,Paid,No,"Description
High-quality renovated apartment of approximately 55 m² located on the top floor and equipped with a sunny roof terrace of approximately 5 m². Energy label A and located around the corner from the beautiful Vondelpark.
NOT FOR SHARERS - NOT TO SHARE!
At the request of the landlord, it is not possible to make this property available to sharers. Sharing is understood to mean students and / or friends who rent the house. The cohabitation of two or highly educated working persons is also not possible. A coupleor a family is eligible for this home.
THE LAYOUT
You reach the apartment via the common staircase. The entrance of the house is on the fourth floor. A central hall with access to all areas. At the rear is the living room with luxurious open kitchen. The handle less kitchen is equipped with a 4-burner induction hob, extractor, fridge / freezer, dishwasher, combi oven / microwave and a natural stone worktop. All kitchen appliances are from the AEG brand. Through the living room you have access to the sunny roof terrace of approximately 5 m².
The bathroom has a bath, walk-in shower, double sink with storage drawers, bathroom mirror and a design radiator. The bedroom is approximately 10 m² (3.76 mx 2.50 m) at the front of the apartment. At the rear is a second (work) room of approximately 3.5 m² (1.56 x 2.18 m²).
LOCATION
The house is located in the beautiful Amsterdam South, a stone's throw from the Vondelpark (300m) and the Hoofddorpplein. There are many shops on Amstelveenseweg and Zeilstraat (including bakery, Albert Heijn within 100m and various good (take-away) restaurants). Facilities such as public transport (including Haarlemmermeerstation) are also within walking distance of the house. There is also good access to Ring Road A-10.
THE MAINTENANCE
It is a high-quality and completely renovated apartment (renovation year 2021). All walls are neatly plastered and painted. The apartment has full double glazing, underfloor heating and the water is heated by a heat exchanger. Finally, the apartment is equipped with blinds, pleated curtains and surface-mounted spotlights.
DETAILS
-Not suitable for sharing - not for sharing!
-Rental price is excl. G / W / L
-Two months deposit
-Minimum rental period is 1 year, no maximum.
An income requirement applies to this object, based on a gross monthly income of at least 4x the net rental price."
https://www.pararius.com/apartment-for-rent/amsterdam/b7833e20/haparandaweg,"€2,800 per month",1013 BD (Houthavens),100 m²,3 rooms,,,,2015,1,"Bath
Lift
Roof terrace
Shower
Toilet
Laundry room",Present,Not present,,A,,Yes,Garage,Yes,"Description
Beautiful, bright apartment of 100 m2 with two spacious bedrooms, terrace of 12 m2 and, if desired, a parking space in the building's parking garage. Located in popular Houthavens area.
This gas-free home has an energy label A.
Location
The Houthaven offers much more than just living. Numerous creative companies have already established themselves in the area. Just like two primary schools, a secondary school, a daycare center, an after-school care center, a care center, a playgroup, and a gym. But also trendy bars, attractive restaurants and cozy terraces on the water. The district adjacent to the cozy Spaarndammerbuurt has a perfect location in relation to the A10-west ring road. Central Station and Sloterdijk Station are 10 minutes by bike away. Haarlemmerplein, Westerpark and De Jordaan are just five minutes by bike away, and the ferry to the iconic NDSM neighborhood is also nearby. Houthaven Amsterdam is an absolute hot spot in Amsterdam. .
You will not only live here in a light and comfortable house in a beautiful neighborhood not far from the city center of Amsterdam, but also in a home that was built with an eye for the world around us: A fantastic place to live.
Layout
Via the entrance on Haparandaweg you reach the third floor by elevator. Andtrance door and hallway of the apartment giving access to all rooms. The living room with open kitchen ans island is located on the Houthavenkade side with a view over the courtyard of the complex and the canal in front. A sea of light enters through the large windows of almost eight meters wide. The terrace, with beautiful views over the courtyard and surroundings, faces southeast. This makes it a wonderful place to enjoy the morning and afternoon sun. The kitchen has all necessary equipment.
The two bedrooms on the Haparandaweg side are both of very good size (3.20 x 5.49 and 3.01 x approx. 4 meters). The main bedroom has a walk-in closet with connections for a washing machine and dryer.
In short: a modern and comfortable apartment in a super location.
In general:
Rental price € 2,800 per month;
Rental price excluding water, electricity, energy and internet;
If desired, aditionally, a parking space can be rented for €250 per month (this cannot be rented separately);
Permanent rental conract, minimum of 12 months;
The apartment will be rented unfurnished (including the items in the photos);
Not suitable for home sharers and students;
Available immediately.
Please schedule an appointment with our agency. We will be happy to show you around.
The property has been measured according to NVM Measurement Guidelines. These measurement guidelines are designed to ensure that measurements are made in a uniform way in terms of useable floor area. These guidelines do not exclude the possibility of differences in measurements due to, for example, differences in interpretation, rounding or limitations when making the measurements.
This information has been compiled with due care and attention by our office. However, we cannot accept liability for any omissions or inaccuracies, or the consequences thereof. All sizes and dimensions are indicative. The buyer remains responsible for verifying all matters that are of importance to him/her. Our office is the real estate agency for the owner of this property. We advise you to approach an NVM/MVA real estate agent to assist you with their expertise during renting. If you choose not to make use of professional guidance, this is deemed to mean that you consider your legal expertise sufficient to handle all associated matters. The General Conditions for Consumers of the NVM are applicable."
https://www.pararius.com/apartment-for-rent/krommenie/883eddb2/zuiderhoofdstraat,"€1,725 per month",1561 AL (Zuiderhoofdbuurt),138 m²,3 rooms,Upholstered,,,1995,1,"Cable TV
Mechanical ventilation
Shower
Toilet",Present,Not present,,B,Present,Yes,Public,No,"Description
FOR RENT: Spacious apartment with double balcony, right in the center of Krommenie!
This very spacious and neat apartment is located on the second floor of the well-maintained complex in the old center of Krommenie.
The apartment is preferably rented for a longer term and is available from mid-December. The apartment can be reached via the stairs from the central entrance on the ground floor. It features a wonderfully spacious living room with an open kitchen, which will be completely renovated at the beginning of December. There are 2 very spacious bedrooms, with access to the balcony. There is also a second balcony, accessible from the living room. The bathroom is beautifully finished and includes a spacious walk-in shower as well as a double sink. There is also a separate toilet. The apartment is rented unfurnished.
On the ground floor, there is a bicycle storage area, and there is ample free parking available in the immediate vicinity. The Krommenie-Assendelft train station is located a short distance away, making Amsterdam and Haarlem easily accessible (both by car and public transport).
Year of construction: 1995
Living area: approx. 138 m²
Volume: approx. 350 m³
Rental conditions:
rent excludes gas, electricity, water, internet, and television;
security deposit: 2 months' rent;
minimum rental term of 24 months;
income requirement: gross income equal to 3x monthly rent;
subject to landlord's approval;
subject to a positive outcome of income data and tenant identification screening;
pets not allowed;
smoking in the apartment is not allowed."
https://www.pararius.com/apartment-for-rent/rotterdam/405b7011/wilhelminakade,"€3,495 per month",3072 AP (Kop van Zuid),94 m²,3 rooms,Furnished,,,2013,1,"Bath
Cable TV
Lift
Mechanical ventilation
Shower
Toilet
Laundry room",Not present,Not present,,C,Present,,,No,"Description
Are you looking for a trendy urban and fully furnished apartment in Rotterdam at the Kop van Zuid?
We offer a completely furnished and bright 3-room apartment on the 17th floor. The accommodation is fully equipped and centrally situated close to the city centre. The waterview is amazing!
The apartment is completely furnished and equipped to feel like a second home. The property has everything one would need when moving straight in from the airport with just your personal belongings. A parking spot can be arranged in the Q-park garage.
We rent out our properties for an all-in rental price to avoid any unexpected costs afterwards. The all-in rental price is: € 3.495,-.
An all-in rental price is really all-in, which means including:
– Fully furnished
– Servicecosts
– Gas, water and electricity
– Regional taxes
– Internet and television
– Maintenance costs
Lay-out:
Central entrance with elevators to all floors. Entrance of the apartment with hallway, toilet, large shape living area with balcony and an amazing view. Luxury open kitchen complete with appliances. The kitchen is equipped with a complete inventory like pots, pans, plates, cutlery etc. Storage room with household appliances like washing machine, dryer, vacuum cleaner and iron with ironing board. Bathroom with a shower, washbasin and bath. Master bedroom and extra bedroom with spacious cabinet where you will find clean towels and extra bedding. Both bedrooms have access to the balcony.
Extra information:
– Minimal rental period 1 months
– Completely furnished 3 room apartment
– Living in a calm and well maintained complex
– There is a servicemanager in the building, who can help you with all sorts of questions
– Located at the 17th floor with an amazing view
– Centrally located
– Close to all cultural facilities in Rotterdam, shops, bars and restaurants
– Internet and television up and running
When you would like to rent an apartment, please keep the following bullets in mind:
– You need to have a valid residence permit and a labor contract
– The income is minimal 3 times the monthly rent or you receive an appropriate housing allowance
Does this apartment not yet fully meet your preferences? Please contact our office for our complete availability!"
https://www.pararius.com/apartment-for-rent/rotterdam/53b1bec1/houtlaan,"€3,896 per month",3016 DA (Nieuwe Werk),132 m²,4 rooms,Furnished,,,2022,1,"Bath
Cable TV
Lift
Mechanical ventilation
Shower
Storage space
Toilet
Laundry room",Present,Not present,,A+,,,,No,"Description
Are you looking for a trendy, brand new and fully furnished apartment in Rotterdam at De Zalmhaven?
We offer a completely furnished and bright 4-room apartment on the 5th floor. The accommodation is fully equipped and centrally situated close to the city centre. The location is amazing!
The apartment is completely furnished and equipped to feel like a second home. The property has everything one would need when moving straight in from the airport with just your personal belongings. A parking spot can be arranged in the underneath parking garage.
We rent out our properties for an all-in rental price to avoid any unexpected costs afterwards. The all-in rental price is: € 3.896,-.
An all-in rental price is really all-in, which means including:
– Fully furnished
– Servicecosts
– Gas, water and electricity
– Regional taxes
– Internet and television
– Maintenance costs
Lay-out:
Central entrance with elevators to all floors. Entrance of the apartment with hallway, toilet, large L-shape living area with balcony. Luxury open kitchen with kitchen island complete with appliances. The kitchen is equipped with a complete inventory like pots, pans, plates, cutlery etc. Storage room with household appliances like washing machine, dryer, vacuum cleaner and iron with ironing board. Bathroom with a shower, double washbasin, bath and second toilet. Master bedroom and 2 extra bedrooms with spacious cabinet where you will find clean towels and extra bedding.
Extra information:
– Minimal rental period 1 months
– Completely furnished 4 room apartment of 132m2
– Living in a calm and well maintained complex
– There is a servicemanager in the building, who can help you with all sorts of questions
– Located at the 5th floor
– Centrally located
– Close to all cultural facilities in Rotterdam, shops, bars and restaurants
– Internet and television up and running
When you would like to rent an apartment, please keep the following bullets in mind:
– You need to have a valid residence permit and a labor contract
– The income is minimal 3 times the monthly rent or you receive an appropriate housing allowance
Does this apartment not yet fully meet your preferences? Please contact our office for our complete availability!"
https://www.pararius.com/apartment-for-rent/den-haag/82da80f1/anna-van-buerenplein,"€3,707 per month",2595 DC (Rivierenbuurt-Noord),91 m²,3 rooms,Furnished,,,1978,1,"Bath
Lift
Mechanical ventilation
Shower
Storage space
Toilet
Laundry room",Present,Not present,,A,Present,Yes,Garage,Yes,"Description
Are you looking for a nice, spacious and furnished apartment in New Babylon?
We offer a completely furnished and bright 3-room apartment on the 23th floor. The accommodation is fully equipped and centrally situated in the city centre, close to the Central Station. The view is amazing!
The apartment is completely furnished and equipped to feel like a second home. The property has everything one would need when moving straight in from the airport with just your personal belongings.
You can park your car in the underground parking garage. When you prefer to use a bike, there is a bicycle storage downstairs as well.
We rent out our properties for an all-in rental price to avoid any unexpected costs afterwards. The all-in rental price is: € 3.707,-.
An all-in rental price is really all-in, which means including:
– Furniture’s
– Gas, water and electricity
– Servicecosts
– Regional taxes
– Internet and television
– Parking
Lay-out: Central entrance with service manager and elevators to all floors. Entrance of the apartment with hallway, toilet, large shape living area. Luxury open kitchen complete with appliances. The kitchen is equipped with a complete inventory like pots, pans, plates, cutlery etc. Storage rooms with household appliances like washing machine, dryer, vacuum cleaner and iron with ironing board. Bathroom with a bath, separate shower and washbasin. Master bedroom and extra bedroom. In the spacious cabinets you will find clean towels and extra bedding.
Extra information:
– Minimal rental period 4 months
– Completely furnished 3 room apartment
– Living in a calm and well maintained complex
– Servicemanager in the building
– Located at the 23th floor
– Centrally located close to the highway
– Close to all cultural facilities in the Hague, shops, bars and restaurants
– Nearby the Central Station
– Internet and television up and running
When you would like to rent an apartment, please keep the following bullets in mind:
– You need to have a valid residence permit and a labor contract
– The income is minimal 3 times the monthly rent or you receive an appropriate housing allowance
Does this apartment not yet fully meet your preferences? Please contact our office for our complete availability!"
